unit_id,county,township,service_point_count,essential_service_count,service_accessibility_score,service_gap_score,nearest_essential_service_distance_m,estimated_nearest_essential_travel_time_min,road_segment_count,road_length_km,mean_road_speed_kmh,capacity_norm,essential_norm,travel_time_inverse_norm
奉节县|龙桥土家族乡|523,奉节县,龙桥土家族乡,191.0,4.0,0.174357,0.825643,3218.484,7.448,3.0,4.844146,35.0,0.0,0.0,0.0
城口县|高观镇|928,城口县,高观镇,356.0,9.0,0.174346,0.825654,4718.24,8.713,21.0,33.126931,43.863253,0.0,0.0,0.0
奉节县|冯坪乡|424,奉节县,冯坪乡,196.0,6.0,0.174289,0.825711,4230.391,7.614,5.0,31.622865,45.004967,0.0,0.0,0.0
城口县|蓼子乡|925,城口县,蓼子乡,282.0,6.0,0.174082,0.825918,4245.326,8.166,16.0,46.402194,42.109175,0.0,0.0,0.0
石柱土家族自治县|三益乡|794,石柱土家族自治县,三益乡,86.0,3.0,0.174027,0.825973,1693.728,6.86,8.0,17.82166,20.0,0.0,0.0,0.0
巫山县|两坪乡|948,巫山县,两坪乡,203.0,2.0,0.173295,0.826705,4628.109,7.655,8.0,32.398853,48.969285,0.0,0.0,0.0
武隆县|文复苗族土家族乡|620,武隆县,文复苗族土家族乡,234.0,2.0,0.172882,0.827118,3611.979,7.933,3.0,12.057296,36.878824,0.0,0.0,0.0
潼南县|米心镇|430,潼南县,米心镇,227.0,7.0,0.172701,0.827299,3237.716,8.239,11.0,13.742858,31.830311,0.0,0.0,0.0
酉阳土家族苗族自治县|后坪乡|977,酉阳土家族苗族自治县,后坪乡,139.0,4.0,0.17266,0.82734,1865.314,7.555,0.0,0.0,20.0,0.0,0.0,0.0
彭水苗族土家族自治县|乔梓乡|994,彭水苗族土家族自治县,乔梓乡,160.0,3.0,0.17246,0.82754,1892.48,7.665,0.0,0.0,20.0,0.0,0.0,0.0
彭水苗族土家族自治县|润溪乡|1016,彭水苗族土家族自治县,润溪乡,243.0,12.0,0.171816,0.828184,4943.374,8.845,9.0,41.264286,45.268548,0.0,0.0,0.0
巫溪县|蒲莲乡|146,巫溪县,蒲莲乡,154.0,2.0,0.17174,0.82826,3169.728,7.748,14.0,15.623997,33.13539,0.0,0.0,0.0
长寿区|云集镇|115,长寿区,云集镇,271.0,12.0,0.171536,0.828464,4475.797,9.075,9.0,38.651499,39.950166,0.0,0.0,0.0
云阳县|云阳镇|247,云阳县,云阳镇,254.0,9.0,0.171297,0.828703,4724.524,8.866,51.0,124.027272,43.164512,0.0,0.0,0.0
彭水苗族土家族自治县|鹿角镇|810,彭水苗族土家族自治县,鹿角镇,278.0,15.0,0.171151,0.828849,5794.47,9.387,3.0,18.006853,50.0,0.0,0.0,0.0
彭水苗族土家族自治县|鹿鸣乡|811,彭水苗族土家族自治县,鹿鸣乡,257.0,4.0,0.170773,0.829227,3597.302,8.696,5.0,7.271032,33.50696,0.0,0.0,0.0
彭水苗族土家族自治县|小厂乡|998,彭水苗族土家族自治县,小厂乡,146.0,3.0,0.170289,0.829711,2502.321,8.108,1.0,0.812687,25.0,0.0,0.0,0.0
巫山县|金坪乡|871,巫山县,金坪乡,56.0,3.0,0.170279,0.829721,3279.049,7.589,3.0,24.933559,35.0,0.0,0.0,0.0
彭水苗族土家族自治县|石盘乡|854,彭水苗族土家族自治县,石盘乡,47.0,1.0,0.169653,0.830347,1868.5,7.567,0.0,0.0,20.0,0.0,0.0,0.0
彭水苗族土家族自治县|双龙乡|850,彭水苗族土家族自治县,双龙乡,39.0,1.0,0.169556,0.830444,1862.807,7.544,0.0,0.0,20.0,0.0,0.0,0.0
巫山县|红椿乡|535,巫山县,红椿乡,95.0,3.0,0.16859,0.83141,3857.895,8.224,7.0,24.705888,37.998503,0.0,0.0,0.0
丰都县|仙女湖镇|234,丰都县,仙女湖镇,405.0,16.0,0.168199,0.831801,4987.621,10.906,38.0,137.369679,37.045113,0.0,0.0,0.0
云阳县|泥溪镇|181,云阳县,泥溪镇,202.0,6.0,0.16818,0.83182,3551.419,9.123,5.0,10.365165,31.530458,0.0,0.0,0.0
万州区|地宝土家族乡|338,万州区,地宝土家族乡,82.0,6.0,0.167689,0.832311,4148.234,8.546,6.0,25.637343,39.319623,0.0,0.0,0.0
城口县|岚天乡|196,城口县,岚天乡,167.0,3.0,0.16741,0.83259,4168.847,8.929,17.0,10.587239,37.818763,0.0,0.0,0.0
石柱土家族自治县|中益乡|672,石柱土家族自治县,中益乡,302.0,13.0,0.167248,0.832752,4120.327,10.35,11.0,30.741743,32.246514,0.0,0.0,0.0
彭水苗族土家族自治县|联合乡|801,彭水苗族土家族自治县,联合乡,163.0,5.0,0.166868,0.833132,2259.698,9.152,0.0,0.0,20.0,0.0,0.0,0.0
彭水苗族土家族自治县|善感乡|996,彭水苗族土家族自治县,善感乡,116.0,1.0,0.166599,0.833401,2149.12,8.704,0.0,0.0,20.0,0.0,0.0,0.0
秀山土家族苗族自治县|钟灵镇|667,秀山土家族苗族自治县,钟灵镇,240.0,8.0,0.164706,0.835294,4655.533,10.302,6.0,22.361341,36.605484,0.0,0.0,0.0
南川区|合溪镇|31,南川区,合溪镇,123.0,5.0,0.164387,0.835613,5107.465,9.522,12.0,22.917886,43.447516,0.0,0.0,0.0
酉阳土家族苗族自治县|万木乡|855,酉阳土家族苗族自治县,万木乡,154.0,4.0,0.164267,0.835733,4736.714,9.669,6.0,10.445131,39.678793,0.0,0.0,0.0
巫山县|三溪乡|947,巫山县,三溪乡,144.0,4.0,0.162163,0.837837,2498.088,10.117,0.0,0.0,20.0,0.0,0.0,0.0
酉阳土家族苗族自治县|泔溪镇|68,酉阳土家族苗族自治县,泔溪镇,287.0,12.0,0.161752,0.838248,6002.864,11.528,7.0,69.144247,42.177561,0.0,0.0,0.0
合川区|隆兴镇|264,合川区,隆兴镇,282.0,8.0,0.161338,0.838662,3719.868,11.36,12.0,18.643308,26.524106,0.0,0.0,0.0
酉阳土家族苗族自治县|清泉乡|1008,酉阳土家族苗族自治县,清泉乡,79.0,4.0,0.161069,0.838931,2470.046,10.004,0.0,0.0,20.0,0.0,0.0,0.0
黔江区|金溪镇|776,黔江区,金溪镇,265.0,7.0,0.160901,0.839099,4647.326,11.308,16.0,44.291992,33.288407,0.0,0.0,0.0
秀山土家族苗族自治县|隘口镇|668,秀山土家族苗族自治县,隘口镇,231.0,8.0,0.160771,0.839229,5271.081,11.204,22.0,14.598203,38.10776,0.0,0.0,0.0
城口县|东安乡|320,城口县,东安乡,526.0,8.0,0.160716,0.839284,4791.201,12.926,15.0,50.212162,30.024705,0.0,0.0,0.0
秀山土家族苗族自治县|涌洞乡|660,秀山土家族苗族自治县,涌洞乡,118.0,4.0,0.160071,0.839929,2585.542,10.471,0.0,0.0,20.0,0.0,0.0,0.0
巫溪县|双阳乡|548,巫溪县,双阳乡,56.0,1.0,0.159616,0.840384,3635.551,10.043,7.0,28.307392,29.322879,0.0,0.0,0.0
丰都县|暨龙镇|351,丰都县,暨龙镇,219.0,7.0,0.15867,0.84133,4862.52,11.578,10.0,10.565825,34.017622,0.0,0.0,0.0
巫山县|平河乡|892,巫山县,平河乡,214.0,6.0,0.158133,0.841867,6444.897,11.619,12.0,13.468946,44.9313,0.0,0.0,0.0
城口县|巴山镇|198,城口县,巴山镇,284.0,7.0,0.157664,0.842336,5227.102,12.204,32.0,32.42481,34.69296,0.0,0.0,0.0
城口县|高楠乡|926,城口县,高楠乡,113.0,4.0,0.156204,0.843796,4318.022,11.384,31.0,12.373335,30.722749,0.0,0.0,0.0
南川区|乾丰乡|901,南川区,乾丰乡,83.0,0.0,0.15481,0.84519,4907.805,11.298,3.0,2.853612,35.185526,0.0,0.0,0.0
南川区|头渡镇|34,南川区,头渡镇,253.0,4.0,0.152932,0.847068,4718.338,12.99,47.0,54.72313,29.42192,0.0,0.0,0.0
武隆县|赵家乡|950,武隆县,赵家乡,112.0,4.0,0.152814,0.847186,5719.812,12.189,6.0,10.606824,38.009008,0.0,0.0,0.0
秀山土家族苗族自治县|大溪乡|824,秀山土家族苗族自治县,大溪乡,110.0,3.0,0.152789,0.847211,2992.993,12.122,1.0,3.905364,20.0,0.0,0.0,0.0
巫溪县|田坝镇|461,巫溪县,田坝镇,450.0,7.0,0.152161,0.847839,5597.446,14.488,10.0,34.294604,31.295053,0.0,0.0,0.0
南川区|山王坪镇|396,南川区,山王坪镇,145.0,5.0,0.151298,0.848702,4687.383,12.807,8.0,62.425905,29.645862,0.0,0.0,0.0
开县|五通乡|183,开县,五通乡,93.0,10.0,0.15108,0.84892,3174.281,12.856,0.0,0.0,20.0,0.0,0.0,0.0
石柱土家族自治县|龙潭乡|992,石柱土家族自治县,龙潭乡,162.0,5.0,0.149749,0.850251,3278.231,13.277,0.0,0.0,20.0,0.0,0.0,0.0
彭水苗族土家族自治县|朗溪乡|852,彭水苗族土家族自治县,朗溪乡,88.0,2.0,0.148989,0.851011,3173.084,12.851,0.0,0.0,20.0,0.0,0.0,0.0
彭水苗族土家族自治县|新田镇|1001,彭水苗族土家族自治县,新田镇,370.0,12.0,0.148019,0.851981,3782.901,15.321,0.0,0.0,20.0,0.0,0.0,0.0
城口县|沿河乡|924,城口县,沿河乡,207.0,3.0,0.147903,0.852097,5612.661,13.865,6.0,3.19957,32.790141,0.0,0.0,0.0
